UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
100654,100200,1002,Alabama A & M University,Normal,AL,www.aamu.edu/,galileo.aamu.edu/netpricecalculator/npcalc.htm,12
100663,105200,1052,University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,www.collegeportraits.org/AL/UAB/estimator/agree,12
100690,2503400,25034,Amridge University,Montgomery,AL,www.amridgeuniversity.edu,tcc.noellevitz.com/(S(miwoihs5stz5cpyifh4nczu0))/Amridge%20University/Freshman-Students,12
100706,105500,1055,University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,finaid.uah.edu/,12
100724,100500,1005,Alabama State University,Montgomery,AL,www.alasu.edu/email/index.aspx,www.alasu.edu/cost-aid/forms/calculator/index.aspx/,12
100751,105100,1051,The University of Alabama,Tuscaloosa,AL,www.ua.edu/,oira.ua.edu,13
100760,100700,1007,Central Alabama Community College,Alexander City,AL,www.cacc.edu,www.cacc.edu/graphics/netpricecalculator/npcalc.htm,32
100812,100800,1008,Athens State University,Athens,AL,www.athens.edu,24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,31
100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,www.aum.edu,www.aum.edu/admissions/financial-information/price-estimator-calculator,12
100858,100900,1009,Auburn University,Auburn University,AL,www.auburn.edu,www.auburn.edu/admissions/money-matters.html,13
100937,101200,1012,Birmingham Southern College,Birmingham,AL,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,12
101028,1218200,12182,Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,external.cv.edu/npc/npcalc.htm,41
101073,1055400,10554,Concordia College Alabama,Selma,AL,www.ccal.edu/,www.ccal.edu/netprice/netprice/,32
101116,1303906,13039,South University-Montgomery,Montgomery,AL,southuniversity.edu,tcc.noellevitz.com/edmc/Transfer-Students?iframe=true&width=600&height=1000,12
101143,101500,1015,Enterprise State Community College,Enterprise,AL,www.escc.edu,www.escc.edu/NetPrice/npcalc.htm,32
101161,106000,1060,James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,www.faulknerstate.edu,32
101189,100300,1003,Faulkner University,Montgomery,AL,www.faulkner.edu,www.faulkner.edu/netprice/,12
101240,101700,1017,Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,www.gadsdenstate.edu/netpricecalculator/,13
101277,4187200,41872,New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,www.nbccosmetology.com/npcalc.htm,32
101286,101800,1018,George C Wallace State Community College-Dothan,Dothan,AL,www.wallace.edu,www.wallace.edu/net_price_calculator.aspx,41
101295,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator/index,32
101301,569900,5699,George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,www.wccs.edu/index.php?page=npc.html,32
101365,962107,9621,Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/birmingham,www.herzing.edu/financial-aid/net-price-calculator,21
101435,101900,1019,Huntingdon College,Montgomery,AL,www.huntingdon.edu,hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm,12
101453,2199700,21997,Heritage Christian University,Florence,AL,www.hcu.edu,www.hcu.edu/share/news/npcalc.htm,13
101462,526000,5260,J F Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,www.drakestate.edu/admissions/net_price_calculator.aspx,12
101480,102000,1020,Jacksonville State University,Jacksonville,AL,www.jsu.edu/,www.jsu.edu/finaid/,13
101499,102100,1021,Jefferson Davis Community College,Brewton,AL,www.jdcc.edu,www.jdcc.edu/netpricecalculator/,32
101505,102200,1022,Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com,www.jeffstateonline.com/financial/tuition/net-price-calculator/,12
101514,101300,1013,John C Calhoun State Community College,Tanner,AL,www.calhoun.edu,calhoun.studentaidcalculator.com/,41
101541,102300,1023,Judson College,Marion,AL,www.judson.edu,www.judson.edu,43
101569,105900,1059,Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,www.lawsonstate.edu/financialaid/npc/npcalc.htm,12
101587,102400,1024,University of West Alabama,Livingston,AL,www.uwa.edu,secure.uwa.edu/calculator/npcalc.htm,43
101602,898800,8988,Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,www.lbwcc.edu/financial_aid/2010-2011_net_price_calculator.aspx,41
101648,102600,1026,Marion Military Institute,Marion,AL,www.marionmilitary.edu,www.marionmilitary.edu/admissions/netcalc/npcalc.htm,43
101675,102800,1028,Miles College,Fairfield,AL,www.miles.edu,miles.edu,21
101693,102900,1029,University of Mobile,Mobile,AL,www.umobile.edu,tcc.noellevitz.com/(S(i2ma5wzihnqpsazmq43fszpq))/University%20of%20Mobile/Freshman-Students,41
101709,100400,1004,University of Montevallo,Montevallo,AL,www.montevallo.edu,www.montevallo.edu/finaid/NetPriceCalculator/,21
101736,569700,5697,Northwest-Shoals Community College,Muscle Shoals,AL,www.nwscc.edu,nwscc.edu/financialaid/netpricecalculator/npcalc.htm,13
101879,101600,1016,University of North Alabama,Florence,AL,www.una.edu,studentnpc.collegeboard.org/,13
101897,103100,1031,Northeast Alabama Community College,Rainsville,AL,www.nacc.edu,www.nacc.edu,42
101912,103300,1033,Oakwood University,Huntsville,AL,www.oakwood.edu,www.oakwood.edu/campus-services/financial-aid,12
101949,103400,1034,Alabama Southern Community College,Monroeville,AL,www.ascc.edu,www.ascc.edu,41
101958,2296000,22960,Prince Institute-Southeast,Montgomery,AL,princeinstitute.edu,princeinstitute.edu,12
101994,569200,5692,Reid State Technical College,Evergreen,AL,www.rstc.edu,www.rstc.edu,41
102030,103000,1030,Bishop State Community College,Mobile,AL,www.bishop.edu,www.bishop.edu/calculator/,12
102049,103600,1036,Samford University,Birmingham,AL,www.samford.edu,samford.studentaidcalculator.com/welcome.aspx,21
102058,4067300,40673,Selma University,Selma,AL,selmauniversity.org,selmauniversity.org/financialaidtest.htm,32
102067,569100,5691,Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu,www.sheltonstate.edu/financial_aid/price_calculator.aspx,13
102076,103800,1038,Snead State Community College,Boaz,AL,www.snead.edu,www.snead.edu/npcalc.htm,32
102094,105700,1057,University of South Alabama,Mobile,AL,www.southalabama.edu,instresrch.usouthal.edu/npc/,12
102234,104100,1041,Spring Hill College,Mobile,AL,www.shc.edu,www.shc.edu/ug/tuition-and-financial-aid/resources/net-price-calculator,12
102261,2270400,22704,Southeastern Bible College,Birmingham,AL,www.sebc.edu,www.sebc.edu/finaid/net-price-calculator/,21
102270,104400,1044,Stillman College,Tuscaloosa,AL,www.stillman.edu,www.stillman.edu/finanical-aid/npcalc.htm,13
102298,104600,1046,Talladega College,Talladega,AL,www.talladega.edu,www.talladega.edu/netcalc/npcalc.htm,32
102313,573400,5734,H Councill Trenholm State Technical College,Montgomery,AL,www.trenholmstate.edu,www.trenholmstate.edu,12
102368,104700,1047,Troy University,Troy,AL,www.troy.edu,admissions.troy.edu/npcalc.aspx,41
10236801,104703,1047,Troy University-Phenix City Campus,Phenix City,AL,http://www.troy.edu/locations/phenix-city-campus.html,NULL,NULL
10236802,104755,1047,Troy University-Montgomery Campus,Montgomery,AL,http://www.troy.edu/locations/montgomery-campus.html,NULL,NULL
10236803,104754,1047,Troy University-Dothan Campus,Dothan,AL,http://www.troy.edu/locations/dothan-campus.html,NULL,NULL
10236808,104700,1047,Troy University-eTROY,Troy,AL,http://www.troy.edu/etroy/online-learning.html,NULL,NULL
10236809,104700,1047,Troy University-Global Campus,Troy,AL,http://trojan.troy.edu/globalcampus/,NULL,NULL
102377,105000,1050,Tuskegee University,Tuskegee,AL,www.tuskegee.edu,www.tuskegee.edu,32
102395,2170600,21706,United States Sports Academy,Daphne,AL,www.ussa.edu,NULL,13
102429,573300,5733,Bevill State Community College,Jasper,AL,www.bscc.edu,www.bscc.edu/financialaid/npcalculator.php,32
102553,1146200,11462,University of Alaska Anchorage,Anchorage,AK,www.uaa.alaska.edu,www.uaa.alaska.edu/financialaid/customcf/npcalc.htm,11
102580,884300,8843,Alaska Bible College,Palmer,AK,www.akbible.edu/,www.akbible.edu/sites/default/files/npcalc.htm,32
102614,106300,1063,University of Alaska Fairbanks,Fairbanks,AK,www.uaf.edu,www.uaf.edu/finaid/net-price-calculator/,23
102632,106500,1065,University of Alaska Southeast,Juneau,AK,www.uas.alaska.edu,www.uas.alaska.edu/financial_aid/costs/npcalc.htm,33
102669,106100,1061,Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,my.alaskapacific.edu/uniquesigce3d1b55322415c149deda8964ead9cb/uniquesig0/SecureInternalMyPortalHomePage/,11
102711,3160300,31603,AVTEC-Alaska's Institute of Technology,Seward,AK,www.avtec.edu/,www.avtec.edu/npcalc.htm,43
102845,2576900,25769,Charter College-Anchorage,Anchorage,AK,www.chartercollege.edu,chartercollege.studentaidcalculator.com/survey.aspx,11
103361,1146205,11462,Prince William Sound Community College,Valdez,AK,www.pwscc.edu,www.pwscc.edu/admissions/tuition-fees/,43
103501,2541000,25410,Alaska Career College,Anchorage,AK,www.alaskacareercollege.edu,www.alaskacareercollege.edu,11
103644,2295000,22950,Everest College-Phoenix,Phoenix,AZ,www.everestcollegephoenix.edu,www.Everestcollegephoenix.edu/npc,11
103723,2160305,21603,Collins College,Phoenix,AZ,www.collinscollege.edu,collinscollege.studentaidcalculator.com,11
103732,2173204,21732,Empire Beauty School-Paradise Valley,Phoenix,AZ,www.empire.edu,www.empire.edu/net-price-calculator,11
103741,966403,9664,Empire Beauty School-Tucson,Tucson,AZ,www.empire.edu,www.empire.edu/net-price-calculator,11
103778,107000,1070,Thunderbird School of Global Management,Glendale,AZ,www.thunderbird.edu,NULL,21
10377801,107002,1070,Global MBA Latin American Managers Program Satellite Campus,Doral,FL,NULL,NULL,NULL
103787,2199900,21999,American Indian College of the Assemblies of God Inc,Phoenix,AZ,www.aicag.edu/,www.aicag.edu/npc/npcalc.htm,11
103811,2317800,23178,American Institute of Technology,Phoenix,AZ,www.ait-schools.com,www.ait-schools.com,11
103893,2100600,21006,Carrington College-Phoenix,Phoenix,AZ,www.carrington.edu,carrington.edu/financial-aid/net-price-calculator/carrington-college/,11
103909,2100611,21006,Carrington College-Mesa,Mesa,AZ,www.carrington.edu,carrington.edu/financial-aid/net-price-calculator/carrington-college/,11
103927,2100607,21006,Carrington College-Tucson,Tucson,AZ,www.carrington.edu,carrington.edu/financial-aid/net-price-calculator/carrington-college/,11
103945,3120300,31203,College America-Flagstaff,Flagstaff,AZ,www.collegeamerica.edu,www.collegeamerica.edu/net-price-calculator,13
103954,886400,8864,Arizona Academy of Beauty-East,Tucson,AZ,www.arizonaacademy.com,www.arizonaacademy.com,11
103963,1084700,10847,Arizona Automotive Institute,Glendale,AZ,www.aai.edu,www.aai.edu,21
104090,2218800,22188,Brookline College-Phoenix,Phoenix,AZ,www.brooklinecollege.edu,www.brooklinecollege.edu,11
104151,108100,1081,Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,students.asu.edu/costs,12
104160,107100,1071,Arizona Western College,Yuma,AZ,www.azwestern.edu,www.azwestern.edu/business_and_administrative/business_office/npcalc.html,13
104179,108300,1083,University of Arizona,Tucson,AZ,www.arizona.edu,oirps.arizona.edu/npc.html,11
104188,2491500,24915,Southwest University of Visual Arts-Tucson,Tucson,AZ,www.suva.edu,suva.edu/financial_aid.html,11
104294,2561900,25619,Brillare Hairdressing Academy,Scottsdale,AZ,www.brillare.com/,brillare.com/enrollment/financial-aid-tuition,12
104346,728300,7283,Central Arizona College,Coolidge,AZ,www.centralaz.edu,doc.centralaz.edu/NetPriceCalculator/npcalc.htm,41
104364,4051325,40513,Brown Mackie College-Tucson,Tucson,AZ,www.brownmackie.edu,tcc.noellevitz.com/edmc/Brown-Mackie?iframe=true&width=600&height=1000,11
104391,2280500,22805,Charles of Italy Beauty College,Lake Havasu City,AZ,www.charlesofitaly.edu,charlesofitaly.edu,13
104425,107200,1072,Cochise College,Douglas,AZ,www.cochise.edu,www.cochise.edu/netprice/npcalc.htm,42
104434,1054207,10542,Empire Beauty School-Flagstaff,Flagstaff,AZ,www.empire.edu,www.empire.edu/net-price-calculator,13
104443,1054208,10542,Empire Beauty School-Chandler,Chandler,AZ,www.empire.edu,www.empire.edu/net-price-calculator,21
104504,2582700,25827,Cortiva Institute-Tucson,Tucson,AZ,www.cortiva.com/,www.cortiva.com/npc/tucson/npcalc.htm,11
104568,1085800,10858,Avalon School of Cosmetology-Mesa,Mesa,AZ,www.avalon.com,www.avalon.edu/admissions-process/financial-aid/,11
104577,107300,1073,Eastern Arizona College,Thatcher,AZ,www.eac.edu,eac.edu/Student_Services/Financial_Aid/Net_Price/default.shtm,33
104586,147902,1479,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,www.erau.edu,prescott.erau.edu/financial-aid/net-price-calculator/index.html,41
104665,2533200,25332,Frank Lloyd Wright School of Architecture,Scottsdale,AZ,www.taliesin.edu,taliesin.edu/tuition.html,41
104708,107600,1076,Glendale Community College,Glendale,AZ,www.gccaz.edu,www.gccaz.edu/finaid/1519.htm,21
104717,107400,1074,Grand Canyon University,Phoenix,AZ,www.gcu.edu,www.gcu.edu,11
104805,2263100,22631,Anthem College-Phoenix,Phoenix,AZ,www.anthem.edu,anthem.edu/anthemcollege/net-price-calculator/,11
104911,1218400,12184,International Academy of Hair Design,Mesa,AZ,www.intlacademyaz.com/,www.intlacademyaz.com/,11
105118,2071200,20712,Kaplan College-Phoenix,Phoenix,AZ,www.kaplancollege.com/phoenix-az/,www.kaplancollege.com/tuition-calculator/.aspx,11
105145,830300,8303,GateWay Community College,Phoenix,AZ,www.gatewaycc.edu,www.maricopa.edu/about/tuition/npc/location/gwc,11
105154,107700,1077,Mesa Community College,Mesa,AZ,www.mesacc.edu,www.mesacc.edu/students/net-price-calculator.html,11
105163,732990,7329,ITT Technical Institute-Tucson,Tucson,AZ,www.itt-tech.edu,www.itt-tech.edu/npc,21
105172,732911,7329,ITT Technical Institute-Tempe,Tempe,AZ,www.itt-tech.edu,www.itt-tech.edu/npc,12
105206,1186400,11864,Mohave Community College,Kingman,AZ,www.mohave.edu,www.mohave.edu/admissions/financialaid,41
105215,2100500,21005,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,www.uti.edu/,www.uti.edu/student-services/financial-aid/npc,11
105297,824600,8246,Dine College,Tsaile,AZ,www.dinecollege.edu,www.dinecollege.edu,43
105330,108200,1082,Northern Arizona University,Flagstaff,AZ,nau.edu/,nau.edu/FinAid/Cost/Budgeting/,13
105349,1186200,11862,Northland Pioneer College,Holbrook,AZ,www.npc.edu,www.npc.edu/net-price-calculator/2011-net-price-calculator,41
105367,193701,1937,Ottawa University-Phoenix,Phoenix,AZ,www.ottawa.edu,www.ottawa.edu/resources/netpricecalculator/npcalc.htm,11
105428,107800,1078,Phoenix College,Phoenix,AZ,www.phoenixcollege.edu,www.pc.maricopa.edu/index.php?page=127&subpage=394,11
105482,2623800,26238,Cortiva Institute-Scottsdale,Scottsdale,AZ,www.cortiva.com/,www.cortiva.com/locations/arizona-massage-school/tuition-financial-aid.aspx,12
105516,2098800,20988,University of Phoenix-Phoenix Campus,Tempe,AZ,www.phoenix.edu,www.phoenix.edu/tuition_and_financial_options/tuition_and_fees.html,12
105525,726600,7266,Pima Community College,Tucson,AZ,www.pima.edu,www.pima.edu/web/net-price-calculator/npc.htm,11
105534,2217100,22171,Pima Medical Institute-Tucson,Tucson,AZ,pmi.edu,pmi.edu,11
105543,2217103,22171,Pima Medical Institute-Albuquerque,Albuquerque,NM,pmi.edu,pmi.edu,11
105589,2065300,20653,Prescott College,Prescott,AZ,www.prescott.edu,www.prescott.edu/apply/true-cost-calculator/index.html,13
105659,1168900,11689,Refrigeration School Inc,Phoenix,AZ,refrigerationschool.com,www.refrigerationschool.com/tuition.html,11
105668,2177500,21775,Rio Salado College,Tempe,AZ,www.rio.maricopa.edu,www.riosalado.edu/financial_aid/Pages/Calculators.aspx,12
105677,2113800,21138,Roberto-Venn School of Luthiery,Phoenix,AZ,www.roberto-venn.com,www.roberto-venn.com/NetPrice/npcalc.htm,11
105701,3005000,30050,Hair Academy of Safford,Safford,AZ,hairacademy.com,hairacademy.com,41
105747,830400,8304,Scottsdale Community College,Scottsdale,AZ,www.scottsdalecc.edu,www.scottsdalecc.edu/admissions/cashiers-office/net-price-calculator,41
105792,2146600,21466,South Mountain Community College,Phoenix,AZ,www.southmountaincc.edu,students.southmountaincc.edu/Services/FinancialAid/,11
105899,711300,7113,Arizona Christian University,Phoenix,AZ,www.arizonachristian.edu,arizonachristian.edu/admissions/financial-aid/calculator,11
105987,446700,4467,Tucson College,Tucson,AZ,www.tucsoncollege.edu,tucsoncollege.studentaidcalculator.com/survey.aspx,11
106041,822100,8221,Universal Technical Institute of Arizona Inc,Avondale,AZ,www.uti.edu,www.uti.edu/student-services/financial-aid/npc,22
106102,2171500,21715,Western International University,Tempe,AZ,www.west.edu,www.west.edu/calc/npcalc.htm,12
106111,945915,9459,Empire Beauty School-NW Phoenix,Glendale,AZ,www.empire.edu,www.empire.edu/net-price-calculator,11
106148,107900,1079,Yavapai College,Prescott,AZ,www.YC.EDU,www.yc.edu/webtools/forms/netpricecalc/,13
106245,110100,1101,University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,npc.collegeboard.org/student/app/ualr,12
106263,110900,1109,University of Arkansas for Medical Sciences,Little Rock,AR,www.uams.edu,www.uams.edu,12
106281,3065100,30651,ABC Beauty College Inc,Arkadelphia,AR,www.abc-beautycollege.com,www.abc-beautycollege.com,32
106306,108700,1087,Arkansas Baptist College,Little Rock,AR,www.arkansasbaptist.edu,arkansasbaptist.edu/New_NetPriceCalculator/npcalc.htm,12
106315,3005100,30051,Arkansas Beauty School,Little Rock,AR,arkbeautyschool.com,arkbeautyschool.com,12
106324,3997300,39973,Arkansas Beauty College,Russellville,AR,arkansasbeautycollegerussellville.com,arkansasbeautycollegerussellvillear.com/npcalc.htm,33
106342,108800,1088,Lyon College,Batesville,AR,www.lyon.edu,my.lyon.edu/ics/default.aspx,33
106351,3023400,30234,Arkansas College of Barbering and Hair Design,North Little Rock,AR,www.arkansascollegeofbarbering.com,www.arkansascollegeofbarbering.com,13
10635101,3023401,30234,Arkansas College of Barbering and Hair Design,Little Rock,AR,http://www.arkansascollegeofbarbering.com,NULL,NULL
106360,2363500,23635,Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,www.arthursbeautycollege.com,www.arthursbeautycollege.com,13
106397,110800,1108,University of Arkansas,Fayetteville,AR,www.uark.edu,finaid.uark.edu/331.php,13
106412,108600,1086,University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,www.uapb.edu/index.php?option=com_content&view=article&id=59,13
106449,109100,1091,Arkansas State University-Beebe,Beebe,AR,www.asub.edu,www.asub.edu/finaid/npcalc/npcalc.htm,31
106458,109000,1090,Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot,13
106467,108900,1089,Arkansas Tech University,Russellville,AR,www.atu.edu,www.atu.edu/finaid/npcalc.htm,33
106485,108500,1085,University of Arkansas at Monticello,Monticello,AR,www.uamont.edu,www.collegeportraits.org/AR/UAM/estimator/agree,33
106494,2538500,25385,Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,arthursbeautycollege.com,www.arthursbeautycollege.com,21
106546,3105200,31052,Baptist Health Schools-Little Rock,Little Rock,AR,www.bhslr.edu,www.bhslr.edu/student-services/accounts/netprice/npcalc.htm,12
106625,2052200,20522,Black River Technical College,Pocahontas,AR,www.blackrivertech.edu,finaid.blackrivertech.edu,41
106704,109200,1092,University of Central Arkansas,Conway,AR,www.uca.edu,www.uca.edu/financialaid/AidCalculator.php,13
106713,109300,1093,Central Baptist College,Conway,AR,www.cbc.edu,www.cbc.edu/students/financial_aid/net_price_calculator.aspx,13
106795,2220900,22209,Cossatot Community College of the University of Arkansas,De Queen,AR,www.cccua.edu/,www.cccua.edu/public/userfiles/files/FinAid/NPC/npcalc.htm,41
106810,109500,1095,Crowley's Ridge College,Paragould,AR,www.crc.edu/,www.crc.edu/,41
106829,704400,7044,Crowley's Ridge Technical Institute,Forrest City,AR,www.crti.tec.ar.us,www.crti.tec.ar.us,32
106883,1226000,12260,East Arkansas Community College,Forrest City,AR,WWW.EACC.EDU,www.eacc.edu/Students/financial_aid/net_price_calc.html,32
106892,2272400,22724,Eastern College of Health Vocations-Little Rock,Little Rock,AR,www.easterncollege.edu,www.easterncollege.edu,12
